Nama,Tanggal_Lahir,Tinggi_Badan,Username,Password,Role,Saldo
Joel Triwira,01/9/2001,180,joeltri,123456,Pemain,20000
Jeremia Axel,11/02/2001,170,jeremiaax,123sayangsemuanya,Pemain,370403367
Yahya Aqrom,07/04/2001,157,yahyaaq,passwordituapa,Admin,0
Fikri. N,01/01/2000,168,fikrin,ultahkayanya,Pemain,120000
Tony Stark,11/05/1970,185,iamironman,iloveu3000,Admin,0
Thanos Tukijan,06/02/1973,252,inevitable,perfectlybalanced,Pemain,25000
Batman,11/11/1973,187,deadpool,iambatman,Pemain,31000
Google Allknowing,11/09/2006,178,google,alwayschange,Admin,0
Beatrice Nanny,09/02/2000,168,beatitnanny,terserah123,Pemain,25000
Carl Johnson,03/01/1968,185,itscjhomie,hesoyam,Pemain,313000
EOP,,,,,,
